Source.Name,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
transport_node_train_202312.csv,2023-12,WEEKDAY,20,TRAIN,NE8,36402,35454
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,20,TRAIN,NE8,35462,22441
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,19,TRAIN,EW33,3012,3003
transport_node_train_202312.csv,2023-12,WEEKDAY,19,TRAIN,EW33,6433,6348
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,8,TRAIN,TE16,2205,1565
transport_node_train_202312.csv,2023-12,WEEKDAY,8,TRAIN,TE16,9050,11145
transport_node_train_202312.csv,2023-12,WEEKDAY,6,TRAIN,CC16,4927,2524
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,6,TRAIN,CC16,1623,744
transport_node_train_202312.csv,2023-12,WEEKDAY,13,TRAIN,TE4,4142,2688
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,13,TRAIN,TE4,2798,1992
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,11,TRAIN,BP12,1750,678
transport_node_train_202312.csv,2023-12,WEEKDAY,11,TRAIN,BP12,2757,1091
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,28364,25600
transport_node_train_202312.csv,2023-12,WEEKDAY,13,TRAIN,NE17/PTC,41439,37953
transport_node_train_202312.csv,2023-12,WEEKDAY,7,TRAIN,BP5,4121,1931
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,7,TRAIN,BP5,669,494
transport_node_train_202312.csv,2023-12,WEEKDAY,8,TRAIN,SW6,9542,2324
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,8,TRAIN,SW6,2058,615
transport_node_train_202312.csv,2023-12,WEEKDAY,16,TRAIN,EW4,13483,12617
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,16,TRAIN,EW4,8846,8252
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,14,TRAIN,CC2,2189,2806
transport_node_train_202312.csv,2023-12,WEEKDAY,14,TRAIN,CC2,4013,4634
transport_node_train_202312.csv,2023-12,WEEKDAY,12,TRAIN,NE14,30235,18617
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,12,TRAIN,NE14,20730,11863
transport_node_train_202312.csv,2023-12,WEEKDAY,20,TRAIN,NE4/DT19,75494,32771
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,20,TRAIN,NE4/DT19,41267,21601
