"","join_station","mrt_score","bus_score","walk_score","score"
"140","woodleigh",0,49.4584689104342,0.728238500371215,0.134155999072441
"141","yewtee",0,2.77258872223978,NA,0.0074423676894379
"142","yiochukang",0,9.87508807801443,NA,0.0265073704775071
"143","yishun",0,5.48063892334199,NA,0.0147114967731693
"144","baharjunction",NA,16.9655763517721,NA,0.0455401323176126
"145","bedoksouth",NA,8.57168137670031,NA,0.0230086792211203
"146","bukitbatokwest",NA,18.4849212206791,NA,0.049618459215059
"147","cantonment",NA,65.5398937490275,NA,0.175926556901277
"148","choachukangwest",NA,10.1503476304677,NA,0.0272462405388886
"149","corporation",NA,8.63052187672324,NA,0.0231666228182678
"150","enterprise",NA,8.43554920237573,NA,0.0226432641534042
"151","gekpoh",NA,13.4544832992867,NA,0.0361154220175152
"152","hongkah",NA,2.99573227355399,NA,0.0080413445023659
"153","juronghill",NA,4.969813299576,NA,0.0133403045416068
"154","jurongpier",NA,4.39444915467244,NA,0.0117958737043378
"155","jurongtownhall",NA,14.5318223550547,NA,0.0390072874120842
"156","jurongwest",NA,16.9406698125577,NA,0.0454732765228033
"157","keppel",NA,30.3803769775699,NA,0.0815490354545471
"158","kimchuanundergroundmrtdepot",NA,3.3322045101752,NA,0.00894452573589544
"159","marinasouth",NA,10.3972077083992,1.05605267424931,0.0299336838844306
"160","mountpleasant",NA,18.6755089915331,NA,0.0501300476293189
"161","nanyangcrescent",NA,1.79175946922805,NA,0.00480956034844393
"162","nanyanggateway",NA,2.07944154167984,NA,0.00558177576707842
"163","pandanreservoir",NA,11.4845259904485,NA,0.0308275311351541
"164","pasirriseast",NA,5.29831736654804,NA,0.0142220970823723
"165","pengkanghill",NA,1.09861228866811,NA,0.00294896842608446
"166","princeedwardroad",NA,75.4593901684249,NA,0.202553131212515
"167","sungeibedok",NA,5.01063529409626,NA,0.0134498816637378
"168","tawas",NA,5.19295685089021,NA,0.0139392813545348
"169","tengahpark",NA,12.4653552434603,NA,0.0334603384761481
"170","tengahplantation",NA,8.30647216010058,NA,0.0222967869419912
"171","tohguan",NA,17.8925054818513,NA,0.0480282573513635
"172","tuasmrtdepot",NA,3.80666248977032,NA,0.0102180975098159
"173","tukang",NA,5.48063892334199,NA,0.0147114967731693
"174","xilin",NA,4.90527477843843,NA,0.0131670659359003
