"","station_code","stations","line","line_code","line_number","join_station","is_interchange","is_above_ground","operator","commencement","n_stations","length","cost","cost_per_km","n_lines"
"72","EW5","Bedok","East West Line","EWL",5,"bedok",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"73","EW6","Kembangan","East West Line","EWL",6,"kembangan",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"74","EW7","Eunos","East West Line","EWL",7,"eunos",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"75","EW8","Paya Lebar","East West Line","EWL",8,"payalebar",1,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,2
"76","EW9","Aljunied","East West Line","EWL",9,"aljunied",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"77","EW10","Kallang","East West Line","EWL",10,"kallang",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"78","EW11","Lavender","East West Line","EWL",11,"lavender",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"79","EW12","Bugis","East West Line","EWL",12,"bugis",1,0,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,2
"80","EW13","City Hall","East West Line","EWL",13,"cityhall",1,0,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,2
"81","EW14","Raffles Place","East West Line","EWL",14,"rafflesplace",1,0,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,2
"82","EW15","Tanjong Pagar","East West Line","EWL",15,"tanjongpagar",0,0,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"83","EW16","Outram Park","East West Line","EWL",16,"outrampark",1,0,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,3
"84","EW17","Tiong Bahru","East West Line","EWL",17,"tiongbahru",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"85","EW18","Redhill","East West Line","EWL",18,"redhill",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"86","EW19","Queenstown","East West Line","EWL",19,"queenstown",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"87","EW20","Commonwealth","East West Line","EWL",20,"commonwealth",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"88","EW21","Buona Vista","East West Line","EWL",21,"buonavista",1,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,2
"89","EW22","Dover","East West Line","EWL",22,"dover",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"90","EW23","Clementi","East West Line","EWL",23,"clementi",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"91","EW24","Jurong East","East West Line","EWL",24,"jurongeast",1,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,2
"92","EW25","Chinese Garden","East West Line","EWL",25,"chinesegarden",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"93","EW26","Lakeside","East West Line","EWL",26,"lakeside",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"94","EW27","Boon Lay","East West Line","EWL",27,"boonlay",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"95","EW28","Pioneer","East West Line","EWL",28,"pioneer",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"96","EW29","Joo Koon","East West Line","EWL",29,"jookoon",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"97","EW30","Gul Circle","East West Line","EWL",30,"gulcircle",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"98","EW31","Tuas Crescent","East West Line","EWL",31,"tuascrescent",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"99","EW32","Tuas West Road","East West Line","EWL",32,"tuaswestroad",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"100","EW33","Tuas Link","East West Line","EWL",33,"tuaslink",0,1,"SMRT Trains",1987-12-12,35,57.2,13.68,0.239160839160839,1
"101","NE1","HarbourFront","North East Line","NEL",1,"harbourfront",1,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,2
"102","NE3","Outram Park","North East Line","NEL",3,"outrampark",1,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,3
"103","NE4","Chinatown","North East Line","NEL",4,"chinatown",1,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,2
"104","NE5","Clarke Quay","North East Line","NEL",5,"clarkequay",0,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,1
"105","NE6","Dhoby Ghaut","North East Line","NEL",6,"dhobyghaut",1,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,3
"106","NE7","Little India","North East Line","NEL",7,"littleindia",1,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,2
"107","NE8","Farrer Park","North East Line","NEL",8,"farrerpark",0,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,1
"108","NE9","Boon Keng","North East Line","NEL",9,"boonkeng",0,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,1
"109","NE10","Potong Pasir","North East Line","NEL",10,"potongpasir",0,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,1
"110","NE11","Woodleigh","North East Line","NEL",11,"woodleigh",0,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,1
"111","NE12","Serangoon","North East Line","NEL",12,"serangoon",1,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,2
"112","NE13","Kovan","North East Line","NEL",13,"kovan",0,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,1
"113","NE14","Hougang","North East Line","NEL",14,"hougang",0,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,1
